SegmentDir,Month,Fatal,Serious,Slight
M1 J12-13 NB,2017-07-01,0.0,0.0,1.0
M1 J12-13 NB,2017-08-01,0.0,1.0,6.0
M1 J12-13 NB,2017-11-01,0.0,0.0,1.0
M1 J12-13 NB,2018-01-01,0.0,0.0,1.0
M1 J12-13 NB,2018-02-01,0.0,0.0,1.0
M1 J12-13 NB,2018-03-01,0.0,0.0,1.0
M1 J12-13 NB,2018-04-01,0.0,0.0,1.0
M1 J12-13 NB,2018-05-01,0.0,1.0,1.0
M1 J12-13 NB,2018-06-01,0.0,0.0,1.0
M1 J12-13 NB,2019-02-01,0.0,0.0,2.0
M1 J12-13 NB,2019-03-01,1.0,0.0,0.0
M1 J12-13 NB,2019-08-01,0.0,0.0,1.0
M1 J12-13 NB,2019-09-01,0.0,1.0,0.0
M1 J12-13 NB,2019-10-01,0.0,1.0,0.0
M1 J12-13 NB,2019-12-01,0.0,0.0,2.0
M1 J12-13 NB,2020-04-01,0.0,1.0,0.0
M1 J12-13 NB,2020-07-01,0.0,1.0,0.0
M1 J12-13 NB,2020-12-01,0.0,0.0,1.0
M1 J12-13 NB,2021-01-01,1.0,0.0,0.0
M1 J12-13 NB,2021-03-01,0.0,0.0,1.0
M1 J12-13 NB,2021-06-01,0.0,0.0,1.0
M1 J12-13 NB,2021-08-01,0.0,1.0,0.0
M1 J12-13 SB,2013-03-01,0.0,0.0,2.0
M1 J12-13 SB,2013-06-01,0.0,0.0,1.0
M1 J12-13 SB,2013-07-01,0.0,1.0,4.0
M1 J12-13 SB,2013-10-01,0.0,2.0,0.0
M1 J12-13 SB,2014-01-01,0.0,0.0,1.0
M1 J12-13 SB,2014-02-01,0.0,0.0,1.0
M1 J12-13 SB,2014-03-01,0.0,0.0,1.0
M1 J12-13 SB,2014-05-01,0.0,0.0,1.0
M1 J12-13 SB,2014-08-01,0.0,0.0,2.0
M1 J12-13 SB,2014-09-01,0.0,0.0,1.0
M1 J12-13 SB,2014-11-01,0.0,0.0,1.0
M1 J12-13 SB,2014-12-01,0.0,0.0,1.0
M1 J12-13 SB,2015-01-01,0.0,0.0,3.0
M1 J12-13 SB,2015-02-01,0.0,0.0,1.0
M1 J12-13 SB,2015-03-01,0.0,0.0,1.0
M1 J12-13 SB,2015-04-01,0.0,0.0,1.0
M1 J12-13 SB,2015-06-01,0.0,0.0,1.0
M1 J12-13 SB,2015-07-01,0.0,0.0,4.0
M1 J12-13 SB,2015-08-01,0.0,0.0,2.0
M1 J12-13 SB,2015-10-01,0.0,0.0,1.0
